Nx_nodes= 41, Ny_nodes= 41
X	Y	U	V	P
6.250000e-01	2.500000e-02	-4.721810e-02	-8.024699e-03	7.517851e-04
6.500000e-01	2.500000e-02	-3.451288e-02	-8.779449e-03	9.056281e-04
6.750000e-01	2.500000e-02	-2.119037e-02	-8.751850e-03	6.360082e-04
7.000000e-01	2.500000e-02	-8.257500e-03	-7.903692e-03	-4.098374e-05
7.250000e-01	2.500000e-02	3.261610e-03	-6.329460e-03	-1.040938e-03
7.500000e-01	2.500000e-02	1.247525e-02	-4.262772e-03	-2.229363e-03
7.750000e-01	2.500000e-02	1.878360e-02	-2.037757e-03	-3.454720e-03
8.000000e-01	2.500000e-02	2.199724e-02	-4.339621e-06	-4.584535e-03
8.250000e-01	2.500000e-02	2.235969e-02	1.572681e-03	-5.530970e-03
8.500000e-01	2.500000e-02	2.045142e-02	2.580554e-03	-6.257960e-03
8.750000e-01	2.500000e-02	1.701344e-02	3.056055e-03	-6.771540e-03
9.000000e-01	2.500000e-02	1.277265e-02	3.116766e-03	-7.101557e-03
9.250000e-01	2.500000e-02	8.351111e-03	2.857006e-03	-7.283651e-03
9.500000e-01	2.500000e-02	4.302540e-03	2.254092e-03	-7.348031e-03
9.750000e-01	2.500000e-02	1.251016e-03	1.193519e-03	-7.320073e-03
1.000000e+00	2.500000e-02	0.000000e+00	2.663448e-04	-8.362141e-03
0.000000e+00	5.000000e-02	0.000000e+00	-7.156478e-04	-7.738499e-04
2.500000e-02	5.000000e-02	9.135929e-04	-1.885633e-03	3.762265e-05
5.000000e-02	5.000000e-02	2.100217e-03	-2.121503e-03	-7.028605e-06
7.500000e-02	5.000000e-02	2.687695e-03	-1.320192e-03	-1.157242e-04
1.000000e-01	5.000000e-02	2.192124e-03	-4.985065e-06	-2.753801e-04
1.250000e-01	5.000000e-02	3.647747e-04	1.501507e-03	-4.749386e-04
1.500000e-01	5.000000e-02	-2.925524e-03	3.069262e-03	-7.090521e-04
1.750000e-01	5.000000e-02	-7.779589e-03	4.701970e-03	-9.786192e-04
2.000000e-01	5.000000e-02	-1.430899e-02	6.459481e-03	-1.288604e-03
2.250000e-01	5.000000e-02	-2.262378e-02	8.385949e-03	-1.644706e-03
2.500000e-01	5.000000e-02	-3.277832e-02	1.046184e-02	-2.050055e-03
2.750000e-01	5.000000e-02	-4.469996e-02	1.258468e-02	-2.502245e-03
3.000000e-01	5.000000e-02	-5.812809e-02	1.457269e-02	-2.990535e-03
3.250000e-01	5.000000e-02	-7.258711e-02	1.618453e-02	-3.493302e-03
3.500000e-01	5.000000e-02	-8.740710e-02	1.715336e-02	-3.976499e-03
3.750000e-01	5.000000e-02	-1.017897e-01	1.723189e-02	-4.394332e-03
4.000000e-01	5.000000e-02	-1.148980e-01	1.623802e-02	-4.693119e-03
4.250000e-01	5.000000e-02	-1.259434e-01	1.408682e-02	-4.818532e-03
4.500000e-01	5.000000e-02	-1.342494e-01	1.080157e-02	-4.725383e-03
4.750000e-01	5.000000e-02	-1.392869e-01	6.507641e-03	-4.388307e-03
5.000000e-01	5.000000e-02	-1.406884e-01	1.418837e-03	-3.811308e-03
5.250000e-01	5.000000e-02	-1.382493e-01	-4.176505e-03	-3.034229e-03
5.500000e-01	5.000000e-02	-1.319297e-01	-9.927138e-03	-2.134414e-03
5.750000e-01	5.000000e-02	-1.218609e-01	-1.542980e-02	-1.222033e-03
6.000000e-01	5.000000e-02	-1.083596e-01	-2.024409e-02	-4.279267e-04
6.250000e-01	5.000000e-02	-9.194687e-02	-2.391804e-02	1.160991e-04
6.500000e-01	5.000000e-02	-7.336458e-02	-2.603115e-02	3.024941e-04
6.750000e-01	5.000000e-02	-5.357738e-02	-2.625905e-02	7.370076e-05
7.000000e-01	5.000000e-02	-3.374427e-02	-2.445586e-02	-5.593352e-04
7.250000e-01	5.000000e-02	-1.514245e-02	-2.073682e-02	-1.514215e-03
7.500000e-01	5.000000e-02	9.682084e-04	-1.552620e-02	-2.654482e-03
7.750000e-01	5.000000e-02	1.353330e-02	-9.526313e-03	-3.824217e-03
8.000000e-01	5.000000e-02	2.190426e-02	-3.580501e-03	-4.887801e-03
8.250000e-01	5.000000e-02	2.597586e-02	1.541343e-03	-5.758960e-03
8.500000e-01	5.000000e-02	2.618704e-02	5.341729e-03	-6.408631e-03
8.750000e-01	5.000000e-02	2.337545e-02	7.674223e-03	-6.852769e-03
9.000000e-01	5.000000e-02	1.856202e-02	8.657753e-03	-7.130346e-03
9.250000e-01	5.000000e-02	1.277707e-02	8.465525e-03	-7.282429e-03
9.500000e-01	5.000000e-02	7.010390e-03	7.094553e-03	-7.337920e-03
9.750000e-01	5.000000e-02	2.305386e-03	4.299291e-03	-7.306442e-03
1.000000e+00	5.000000e-02	0.000000e+00	1.251016e-03	-8.305071e-03
0.000000e+00	7.500000e-02	0.000000e+00	-1.159770e-03	-6.359566e-04
2.500000e-02	7.500000e-02	6.569478e-04	-2.815384e-03	1.507601e-04
5.000000e-02	7.500000e-02	1.036368e-03	-2.678057e-03	9.113203e-05
7.500000e-02	7.500000e-02	2.952517e-04	-7.944541e-04	-2.446810e-05
1.000000e-01	7.500000e-02	-2.043800e-03	1.997504e-03	-1.818472e-04
1.250000e-01	7.500000e-02	-6.276225e-03	5.210635e-03	-3.716252e-04
1.500000e-01	7.500000e-02	-1.261178e-02	8.646533e-03	-5.924091e-04
1.750000e-01	7.500000e-02	-2.122342e-02	1.229184e-02	-8.508429e-04
2.000000e-01	7.500000e-02	-3.224397e-02	1.618737e-02	-1.158939e-03
2.250000e-01	7.500000e-02	-4.570952e-02	2.030651e-02	-1.530189e-03
2.500000e-01	7.500000e-02	-6.147477e-02	2.447986e-02	-1.975412e-03
2.750000e-01	7.500000e-02	-7.914310e-02	2.838222e-02	-2.498459e-03
3.000000e-01	7.500000e-02	-9.805235e-02	3.157638e-02	-3.091707e-03
3.250000e-01	7.500000e-02	-1.173343e-01	3.359663e-02	-3.732098e-03
3.500000e-01	7.500000e-02	-1.360300e-01	3.404459e-02	-4.379262e-03
3.750000e-01	7.500000e-02	-1.532164e-01	3.266384e-02	-4.977207e-03
4.000000e-01	7.500000e-02	-1.680990e-01	2.937023e-02	-5.460129e-03
4.250000e-01	7.500000e-02	-1.800521e-01	2.423957e-02	-5.761638e-03
4.500000e-01	7.500000e-02	-1.886179e-01	1.747356e-02	-5.825859e-03
4.750000e-01	7.500000e-02	-1.934829e-01	9.365656e-03	-5.618576e-03
5.000000e-01	7.500000e-02	-1.944496e-01	2.780914e-04	-5.136693e-03
5.250000e-01	7.500000e-02	-1.914159e-01	-9.367751e-03	-4.414544e-03
5.500000e-01	7.500000e-02	-1.843666e-01	-1.909140e-02	-3.525737e-03
5.750000e-01	7.500000e-02	-1.733806e-01	-2.835024e-02	-2.579193e-03
6.000000e-01	7.500000e-02	-1.586535e-01	-3.654193e-02	-1.708191e-03
6.250000e-01	7.500000e-02	-1.405333e-01	-4.302260e-02	-1.051901e-03
6.500000e-01	7.500000e-02	-1.195661e-01	-4.715215e-02	-7.306135e-04
6.750000e-01	7.500000e-02	-9.653865e-02	-4.837568e-02	-8.186743e-04
7.000000e-01	7.500000e-02	-7.250430e-02	-4.634242e-02	-1.322320e-03
7.250000e-01	7.500000e-02	-4.876485e-02	-4.104596e-02	-2.171453e-03
7.500000e-01	7.500000e-02	-2.678054e-02	-3.294273e-02	-3.232461e-03
7.750000e-01	7.500000e-02	-7.987775e-03	-2.297819e-02	-4.342021e-03
8.000000e-01	7.500000e-02	6.459884e-03	-1.245141e-02	-5.351346e-03
8.250000e-01	7.500000e-02	1.594838e-02	-2.714700e-03	-6.162914e-03
8.500000e-01	7.500000e-02	2.053297e-02	5.176283e-03	-6.744379e-03
